Component,Message Purpose,Service ID,Function Id,Opcode,,,
cmb_sensorfi_ , GpsTemperatureUpReg ,11,23,3,,,
cmb_sensorfi_ , GpsTestAdditionalDataGet ,11,45,1,,,
cmb_sensorfi_ , GpsTestAdditionalDataRelUpReg ,11,45,4,,,
cmb_sensorfi_ , GpsTestAdditionalDataStatus ,11,45,6,,,
cmb_sensorfi_ , GpsTestAdditionalDataUpReg ,11,45,3,,,
cmb_sensorfi_ , GpsTestmodeMethodResult ,11,25,7,,,
cmb_sensorfi_ , GpsTestmodeMethodStart ,11,25,2,,,
cmb_sensorfi_ , GpsTightCouplingDataGet ,11,46,1,,,
cmb_sensorfi_ , GpsTightCouplingDataRelUpReg ,11,46,4,,,
cmb_sensorfi_ , GpsTightCouplingDataStatus ,11,46,6,,,
cmb_sensorfi_ , GpsTightCouplingDataUpReg ,11,46,3,,,
cmb_sensorfi_ , Gyro3dData_UpdateGet ,11,65,1,,,
cmb_sensorfi_ , Gyro3dData_UpdateRelUpReg ,11,65,4,,,
cmb_sensorfi_ , Gyro3dData_UpdateStatus ,11,65,6,,,
cmb_sensorfi_ , Gyro3dData_UpdateUpReg ,11,65,3,,,
cmb_sensorfi_ , Gyro3dDiagDataGet ,11,60,1,,,
cmb_sensorfi_ , Gyro3dDiagDataStatus ,11,60,6,,,
cmb_sensorfi_ , Gyro3dGetHwInfoMethodResult ,11,64,7,,,
cmb_sensorfi_ , Gyro3dGetHwInfoMethodStart ,11,64,2,,,
cmb_sensorfi_ , GyroADCBitRangeGet ,11,28,1,,,
cmb_sensorfi_ , GyroADCBitRangeSet ,11,28,0,,,
cmb_sensorfi_ , GyroADCBitRangeStatus ,11,28,6,,,
cmb_sensorfi_ , GyroData_InitGet ,11,3,1,,,
cmb_sensorfi_ , GyroData_InitStatus ,11,3,6,,,
cmb_sensorfi_ , GyroData_UpdateGet ,11,4,1,,,
cmb_sensorfi_ , GyroData_UpdateRelUpReg ,11,4,4,,,
cmb_sensorfi_ , GyroData_UpdateStatus ,11,4,6,,,
cmb_sensorfi_ , GyroData_UpdateUpReg ,11,4,3,,,
cmb_sensorfi_ , GyroDiagDataGet ,11,51,1,,,
cmb_sensorfi_ , GyroDiagDataStatus ,11,51,6,,,
cmb_sensorfi_ , GyroErrorGet ,11,44,1,,,
cmb_sensorfi_ , GyroErrorRelUpReg ,11,44,4,,,
cmb_sensorfi_ , GyroErrorStatus ,11,44,6,,,
cmb_sensorfi_ , GyroErrorUpReg ,11,44,3,,,
cmb_sensorfi_ , GyroManufacturerGet ,11,16,1,,,
cmb_sensorfi_ , GyroManufacturerSet ,11,16,0,,,
cmb_sensorfi_ , GyroManufacturerStatus ,11,16,6,,,
cmb_sensorfi_ , GyroOffsetGet ,11,19,1,,,
cmb_sensorfi_ , GyroOffsetRelUpReg ,11,19,4,,,
cmb_sensorfi_ , GyroOffsetSet ,11,19,0,,,
